Date,Open,High,Low,Close,Volume,Change
2023-08-01,70100,71200,70000,71100,12299254,0.018624641833810962
2023-08-02,70700,71000,69800,69900,13835020,-0.016877637130801704
2023-08-03,69900,70200,68500,68800,20087090,-0.01573676680972813
2023-08-04,68800,69100,68200,68300,12360193,-0.007267441860465129
2023-08-07,67700,69200,67600,68500,10968505,0.002928257686676483
2023-08-08,69000,69100,67400,67600,14664709,-0.013138686131386912
2023-08-09,68000,69600,67900,68900,17259673,0.019230769230769162
2023-08-10,68300,68500,67800,68000,10227311,-0.013062409288824406
2023-08-11,68400,68800,67500,67500,9781038,-0.007352941176470562
2023-08-14,67500,67900,66900,67300,9352343,-0.002962962962962945
2023-08-16,66700,67100,66300,67000,13174578,-0.004457652303120341
2023-08-17,66300,66800,66000,66700,10778652,-0.004477611940298498
2023-08-18,66000,66700,65800,66300,11745006,-0.005997001499250421
2023-08-21,66600,67100,66300,66600,9720067,0.004524886877828038
2023-08-22,67200,67700,66300,66600,10500242,0.0
2023-08-23,66700,67100,66400,67100,9549352,0.007507507507507505
2023-08-24,68300,68700,67900,68200,15044463,0.016393442622950838
2023-08-25,67100,67400,66900,67100,7032462,-0.016129032258064502
2023-08-28,66800,67000,66500,66800,5824628,-0.0044709388971684305
2023-08-29,66900,67200,66600,66800,9114352,0.0
2023-08-30,67300,67700,67100,67100,9181223,0.004491017964071808
2023-08-31,67100,67200,66400,66900,15964630,-0.0029806259314456574
